               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066163,            0.053606,             0.03387,             0.80581,             0.21795,             0.17661,            0.082804,              0.0515,            0.018545,            0.015791,            0.070019,           0.0033313,           0.0033313
                   1,            0.053576,            0.029311,            0.014459,             0.76804,             0.27883,             0.25297,             0.12026,            0.046616,            0.016263,            0.011056,            0.039887,           0.0065326,           0.0065326
                   2,            0.051596,            0.024706,            0.012399,             0.78584,             0.32184,             0.25851,               0.127,            0.054644,            0.014063,           0.0096137,           0.0096227,            0.009602,            0.009602
                   3,            0.043592,            0.023186,            0.010645,             0.76596,              0.4118,             0.35067,             0.16259,            0.043968,            0.013226,           0.0072742,            0.009406,            0.009406,            0.009406
                   4,            0.038102,             0.02205,           0.0085576,             0.93724,             0.45562,             0.45795,             0.25844,             0.03283,            0.013459,           0.0061558,            0.009406,            0.009406,            0.009406
                   5,            0.033356,            0.021309,           0.0070074,             0.93139,             0.46203,             0.53947,             0.31997,            0.028769,            0.013407,           0.0055235,            0.009208,            0.009208,            0.009208
                   6,            0.031209,            0.021031,           0.0063605,             0.89551,             0.55446,             0.58348,             0.34704,            0.028025,             0.01325,           0.0052939,             0.00901,             0.00901,             0.00901
                   7,             0.02981,            0.020554,           0.0062505,             0.97931,              0.5661,             0.61294,             0.37545,            0.024936,            0.012512,           0.0045315,            0.008812,            0.008812,            0.008812
                   8,            0.028211,            0.019921,           0.0058313,             0.96623,             0.57144,             0.60674,             0.37213,             0.02749,            0.012806,           0.0043433,            0.008614,            0.008614,            0.008614
                   9,            0.026969,            0.019694,           0.0053557,             0.97932,             0.57434,             0.63649,             0.38568,            0.025321,            0.012497,           0.0040729,            0.008416,            0.008416,            0.008416
                  10,             0.02653,            0.020077,           0.0053327,             0.97302,             0.57887,             0.63207,              0.3885,            0.024455,            0.012641,           0.0039121,            0.008218,            0.008218,            0.008218
                  11,            0.025571,            0.019468,           0.0049063,             0.97651,             0.56602,             0.61457,             0.40284,            0.022411,            0.012598,           0.0038705,             0.00802,             0.00802,             0.00802
                  12,            0.025409,            0.019152,           0.0047288,             0.97626,             0.56901,             0.63808,             0.38663,             0.02362,            0.012653,           0.0052427,            0.007822,            0.007822,            0.007822
                  13,            0.025047,            0.019606,           0.0041432,             0.97802,             0.56107,              0.6346,             0.40671,            0.022237,             0.01246,           0.0052918,            0.007624,            0.007624,            0.007624
                  14,            0.023803,            0.018716,           0.0044904,             0.78934,             0.66987,             0.64768,             0.41809,            0.022252,            0.012814,           0.0039204,            0.007426,            0.007426,            0.007426
                  15,            0.023444,            0.018404,           0.0039445,             0.69207,             0.70018,             0.68117,             0.44992,            0.022402,            0.012356,           0.0031462,            0.007228,            0.007228,            0.007228
                  16,            0.023026,            0.018652,           0.0038443,             0.66528,             0.74562,             0.62168,             0.42858,            0.022028,            0.012248,           0.0028998,             0.00703,             0.00703,             0.00703
                  17,            0.022426,            0.018695,           0.0036562,             0.72191,             0.69226,               0.641,             0.42348,            0.021699,            0.012108,           0.0035146,            0.006832,            0.006832,            0.006832
                  18,            0.022428,            0.018569,           0.0034609,             0.71172,             0.82023,             0.63515,             0.42167,            0.024026,            0.012195,           0.0024388,            0.006634,            0.006634,            0.006634
                  19,            0.021918,            0.018409,           0.0038351,               0.693,             0.71605,             0.64481,             0.42282,            0.021573,            0.011933,           0.0029087,            0.006436,            0.006436,            0.006436
                  20,            0.021251,            0.018179,           0.0031518,             0.73543,             0.82712,             0.68647,             0.47762,            0.021128,            0.012001,           0.0024974,            0.006238,            0.006238,            0.006238
                  21,            0.021143,            0.017902,           0.0032024,             0.71055,             0.78257,             0.67314,             0.46014,            0.020969,             0.01204,           0.0022971,             0.00604,             0.00604,             0.00604
                  22,            0.020482,            0.017813,           0.0034831,             0.65825,             0.70252,             0.63671,             0.43014,            0.019717,            0.011921,           0.0026468,            0.005842,            0.005842,            0.005842
                  23,             0.02009,            0.017234,           0.0031028,             0.68453,             0.77206,             0.68217,              0.4723,            0.020027,            0.011557,            0.002367,            0.005644,            0.005644,            0.005644
                  24,            0.019763,            0.017067,           0.0031064,             0.72739,             0.75807,             0.70508,             0.49772,            0.019174,            0.011606,           0.0026796,            0.005446,            0.005446,            0.005446
                  25,              0.0194,            0.017513,           0.0032073,             0.67942,             0.77351,             0.67741,              0.4599,            0.018707,             0.01138,           0.0023969,            0.005248,            0.005248,            0.005248
                  26,            0.019265,            0.017488,           0.0028139,             0.69402,             0.83484,             0.63756,             0.46952,            0.018284,            0.011551,           0.0023982,             0.00505,             0.00505,             0.00505
                  27,            0.018774,            0.017249,           0.0027519,             0.72444,             0.82132,             0.67798,             0.46919,            0.018255,            0.011495,           0.0023374,            0.004852,            0.004852,            0.004852
                  28,            0.018949,            0.017237,           0.0027628,             0.70276,             0.78997,             0.66179,             0.47873,            0.018746,            0.011377,           0.0021952,            0.004654,            0.004654,            0.004654
                  29,             0.01838,             0.01675,           0.0025388,              0.7775,             0.82712,             0.76089,             0.57191,            0.018975,            0.011664,            0.002117,            0.004456,            0.004456,            0.004456
                  30,            0.018052,            0.016558,           0.0024511,             0.75188,             0.73084,             0.72701,             0.54652,            0.018201,            0.011907,           0.0027504,            0.004258,            0.004258,            0.004258
                  31,            0.017826,            0.016766,           0.0026307,              0.7475,             0.82837,             0.73199,              0.5424,            0.017763,            0.011205,            0.003032,             0.00406,             0.00406,             0.00406
                  32,            0.017311,            0.016309,           0.0026921,             0.72417,             0.75625,             0.67586,             0.50202,            0.017588,             0.01127,           0.0022527,            0.003862,            0.003862,            0.003862
                  33,            0.017342,            0.016357,           0.0021715,             0.74628,             0.76785,             0.68495,             0.50928,             0.01791,            0.011146,           0.0017148,            0.003664,            0.003664,            0.003664
                  34,            0.016706,            0.016011,           0.0024056,              0.7276,             0.74833,             0.67335,              0.4926,            0.017479,            0.011167,           0.0020327,            0.003466,            0.003466,            0.003466
                  35,            0.016729,            0.016061,           0.0025334,             0.76434,             0.78695,             0.76244,             0.57221,            0.017069,            0.011299,            0.001622,            0.003268,            0.003268,            0.003268
                  36,            0.016487,            0.016225,           0.0021039,             0.76658,             0.82375,             0.72571,             0.55848,            0.017098,            0.011238,           0.0019427,             0.00307,             0.00307,             0.00307
                  37,            0.016023,            0.015572,           0.0021312,             0.77686,             0.81296,             0.75768,              0.5821,            0.016819,            0.010843,           0.0018433,            0.002872,            0.002872,            0.002872
                  38,            0.015665,             0.01566,           0.0017574,             0.76311,             0.81548,             0.70495,             0.53356,            0.016646,            0.010795,           0.0014821,            0.002674,            0.002674,            0.002674
                  39,            0.015566,            0.015492,           0.0021384,             0.69636,             0.79813,             0.66939,             0.51166,            0.016148,            0.010755,           0.0019099,            0.002476,            0.002476,            0.002476
                  40,            0.015021,            0.015506,           0.0018038,             0.77585,              0.7878,             0.77157,             0.59447,            0.016183,            0.010443,           0.0016633,            0.002278,            0.002278,            0.002278
                  41,            0.014592,            0.015106,           0.0018947,              0.7877,             0.79281,             0.76267,             0.59566,            0.015876,            0.010644,           0.0016284,             0.00208,             0.00208,             0.00208
                  42,            0.014484,            0.015399,           0.0016098,             0.79683,             0.74323,             0.76628,             0.60821,            0.015606,            0.010533,           0.0013551,            0.001882,            0.001882,            0.001882
                  43,            0.014385,            0.015198,           0.0017561,             0.77646,             0.75115,             0.74754,             0.58504,            0.015143,            0.010307,           0.0012505,            0.001684,            0.001684,            0.001684
                  44,             0.01396,            0.014871,           0.0016748,             0.78236,             0.76768,             0.73919,             0.57814,            0.014926,            0.010375,           0.0011324,            0.001486,            0.001486,            0.001486
                  45,            0.013642,            0.014454,           0.0017104,             0.75068,             0.73359,             0.72681,             0.57634,            0.015142,            0.010517,           0.0013837,            0.001288,            0.001288,            0.001288
                  46,            0.013454,            0.014556,           0.0016195,             0.80933,             0.72897,             0.75952,             0.61092,            0.014894,             0.01039,           0.0012327,             0.00109,             0.00109,             0.00109
                  47,            0.013241,            0.014474,           0.0015863,             0.82533,             0.72281,             0.76575,             0.61411,            0.014836,            0.010336,           0.0012097,            0.000892,            0.000892,            0.000892
                  48,             0.01303,            0.014431,           0.0014066,             0.84027,             0.73918,             0.75329,             0.60794,            0.014533,            0.010101,           0.0010948,            0.000694,            0.000694,            0.000694
                  49,            0.012702,             0.01407,            0.001482,             0.83891,             0.74625,             0.75057,             0.59163,            0.014225,           0.0099238,            0.001022,            0.000496,            0.000496,            0.000496
